Gmt time,Open,High,Low,Close,Volume
20.02.2023 00:00:00.000,1.20284,1.20297,1.20267,1.20268,124.59
20.02.2023 00:01:00.000,1.20266,1.20281,1.20256,1.20269,118.34
20.02.2023 00:02:00.000,1.20266,1.20272,1.20243,1.20249,381.18
20.02.2023 00:03:00.000,1.20250,1.20257,1.20244,1.20250,186.79
20.02.2023 00:04:00.000,1.20251,1.20253,1.20238,1.20244,101.67
20.02.2023 00:05:00.000,1.20242,1.20248,1.20235,1.20245,52.32
20.02.2023 00:06:00.000,1.20246,1.20288,1.20246,1.20280,57.17
20.02.2023 00:07:00.000,1.20281,1.20283,1.20274,1.20274,74.78
20.02.2023 00:08:00.000,1.20274,1.20277,1.20273,1.20274,11.7
20.02.2023 00:09:00.000,1.20273,1.20273,1.20219,1.20219,182.1
20.02.2023 00:10:00.000,1.20220,1.20234,1.20214,1.20228,348.45
20.02.2023 00:11:00.000,1.20229,1.20236,1.20214,1.20224,155.94
20.02.2023 00:12:00.000,1.20224,1.20224,1.20211,1.20214,90.9
20.02.2023 00:13:00.000,1.20214,1.20222,1.20213,1.20219,65.7
20.02.2023 00:14:00.000,1.20220,1.20221,1.20208,1.20211,60.3
20.02.2023 00:15:00.000,1.20212,1.20215,1.20208,1.20210,47.7
20.02.2023 00:16:00.000,1.20209,1.20212,1.20208,1.20212,23.4
20.02.2023 00:17:00.000,1.20210,1.20214,1.20208,1.20213,106.02
20.02.2023 00:18:00.000,1.20211,1.20220,1.20208,1.20215,579.45
20.02.2023 00:19:00.000,1.20214,1.20220,1.20209,1.20209,285.78
20.02.2023 00:20:00.000,1.20211,1.20214,1.20204,1.20213,75.03
20.02.2023 00:21:00.000,1.20211,1.20211,1.20206,1.20208,59.61
20.02.2023 00:22:00.000,1.20206,1.20210,1.20204,1.20207,110.28
20.02.2023 00:23:00.000,1.20207,1.20218,1.20207,1.20210,186.84
20.02.2023 00:24:00.000,1.20208,1.20212,1.20208,1.20210,204.63
20.02.2023 00:25:00.000,1.20211,1.20216,1.20209,1.20214,124.86
20.02.2023 00:26:00.000,1.20214,1.20226,1.20214,1.20225,334.41
20.02.2023 00:27:00.000,1.20226,1.20229,1.20225,1.20227,13.5
20.02.2023 00:28:00.000,1.20228,1.20235,1.20223,1.20223,38.25
20.02.2023 00:29:00.000,1.20225,1.20242,1.20224,1.20230,48.69
20.02.2023 00:30:00.000,1.20228,1.20244,1.20224,1.20224,59.4
20.02.2023 00:31:00.000,1.20227,1.20236,1.20219,1.20221,341.79
20.02.2023 00:32:00.000,1.20223,1.20235,1.20220,1.20231,154.38
20.02.2023 00:33:00.000,1.20230,1.20244,1.20230,1.20235,136.44
20.02.2023 00:34:00.000,1.20235,1.20235,1.20224,1.20228,438.63
20.02.2023 00:35:00.000,1.20229,1.20233,1.20221,1.20221,677.82
20.02.2023 00:36:00.000,1.20222,1.20223,1.20211,1.20213,372.57
20.02.2023 00:37:00.000,1.20214,1.20222,1.20207,1.20221,43.2
20.02.2023 00:38:00.000,1.20222,1.20223,1.20205,1.20206,55.68
20.02.2023 00:39:00.000,1.20207,1.20209,1.20197,1.20198,41.85
20.02.2023 00:40:00.000,1.20198,1.20200,1.20192,1.20193,54.18
20.02.2023 00:41:00.000,1.20192,1.20192,1.20162,1.20168,126.24
20.02.2023 00:42:00.000,1.20170,1.20178,1.20168,1.20175,254.97
20.02.2023 00:43:00.000,1.20177,1.20179,1.20164,1.20166,309.09
20.02.2023 00:44:00.000,1.20166,1.20172,1.20164,1.20167,255.96
20.02.2023 00:45:00.000,1.20166,1.20171,1.20151,1.20166,254.55
20.02.2023 00:46:00.000,1.20166,1.20166,1.20158,1.20161,178.86
20.02.2023 00:47:00.000,1.20162,1.20177,1.20161,1.20173,17.46
20.02.2023 00:48:00.000,1.20174,1.20175,1.20152,1.20155,225.33
20.02.2023 00:49:00.000,1.20155,1.20166,1.20153,1.20159,285.99
20.02.2023 00:50:00.000,1.20163,1.20171,1.20151,1.20151,245.49
20.02.2023 00:51:00.000,1.20151,1.20173,1.20150,1.20172,391.89
20.02.2023 00:52:00.000,1.20173,1.20181,1.20167,1.20172,143.58
20.02.2023 00:53:00.000,1.20168,1.20170,1.20152,1.20158,117.69
20.02.2023 00:54:00.000,1.20157,1.20183,1.20157,1.20172,142.87
20.02.2023 00:55:00.000,1.20177,1.20182,1.20164,1.20164,225.72
20.02.2023 00:56:00.000,1.20165,1.20169,1.20161,1.20164,177.33
20.02.2023 00:57:00.000,1.20164,1.20169,1.20160,1.20162,482.85
20.02.2023 00:58:00.000,1.20162,1.20167,1.20150,1.20161,276.06
